"EmployeeID","Nationality","EmploymentType","EmploymentStatus","EmployeeProfile","EmployeeEmail","Role"
1,"Singaporean","Full-timer","Active","Manager","emp1@company.com","Manager"
2,"Foreigner","Part-timer","Invite Sent","Developer","emp2@company.com","Developer"
3,"PR","Contract","Payroll only","Analyst","emp3@company.com","Analyst"
4,"Others","Full-timer","Active","Developer","emp4@company.com","Developer"
5,"Singaporean","Intern","Active","Intern","emp5@company.com","Intern"
6,"Foreigner","Full-timer","Active","Manager","emp6@company.com","Manager"
7,"PR","Part-timer","Invite Sent","HR","emp7@company.com","HR"
8,"Others","Full-timer","Payroll only","Developer","emp8@company.com","Developer"
9,"Singaporean","Contract","Active","Designer","emp9@company.com","Designer"
10,"Foreigner","Full-timer","Active","Engineer","emp10@company.com","Engineer"
